タイトル,日本語,英語
リサイクル-1,企業はリサイクルしやすい製品を製造することを義務付けられるべきだと私は思う。,"I agree that companies should be required to produce goods that are easy to recycle."
リサイクル-2,現代では、環境への関心が高まっている。,"Nowadays, concern about the environment {is }{increasing}."
リサイクル-3,例えば、特に海洋汚染によって、一部の動物が危機に瀕している。,"For example, some animals are in danger because of pollution, especially ocean pollution."
リサイクル-4,こうした問題を防ぐためにリサイクル品を使うべきだ。,"We should use recycled goods  {to  } {prevent } { these } problems."
リサイクル-5,しかし、企業がそうすることを義務付けられていなければ、多くの企業がコストを環境への責任よりも優先するかもしれない。,"However, if companies { are  } {not  } {required } { to } { do } { so }, many of them may  {prioritize }  {cost  } {over  }environmental responsibility."
リサイクル-6,したがって、これを義務化することが必要だ。,"Therefore, it is necessary to make this { mandatory }."
リサイクル-7,第一に、企業にリサイクル可能な製品の製造を義務付けることは、汚染や限られた資源の無駄を減らすのに役立つ。,"First, requiring companies to produce recyclable goods  {helps  } {reduce } pollution and  {the } { waste }  {of  }limited resources."
リサイクル-8,第二に、環境に優しい製品への顧客の需要を満たすのに役立つ。,"Second, it  {helps  }{ meet } customer demand for  {environmentally  }{ friendly } { products }."
リサイクル-9,リサイクルに特化した施設を建設するにはコストがかかるかもしれないが、こうした潮流に適応するために事業のやり方を変えることは必要だ。,"Although it might  {cost } a lot to construct facilities  {specialized }  {in  } {recycling },  {changing } their operations is necessary  {to  } {adapt  }{ to  } {these  } {trends }."
リサイクル-10,結論として、これは将来的により良い環境と健全な生態系につながるだろう。,"In conclusion, this will  {lead }  {to  } {a  } {better } { environment } and  {healthier  }ecosystems in the future."